Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
CW_brac_rf,2.45495707817955E-07,-0.0377750444959561,-0.0143305757586211,0,0,0,0.074720639818808,6.84711765656463E-05,-3.66816230539197E-11,6.36578253950287E-12,6.18341101257445E-05,-1.41155279221006E-05,8.26659596872359E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_rf.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_rf.STL,,Caster_Wheel_bracket-3,cw_brac_rf,cw_bracket_rf,CW_brac_rf_joint,continuous,0,0,0,0,0,0,CW_mount_rf,0,1,0,,,,,,,,,,,,
CW_rf,0,0,0,0,0,0,0.359205022961183,0.000758344332671333,-2.36065589915202E-19,-6.09233619691174E-18,0.000401507997406102,1.31258152506491E-20,0.000401507997406102,0,0,0,0,0,0,package://AGV5/meshes/CW_rf.STL,1,0.968627450980392,0.843137254901961,1,0,0,0,0,0,0,package://AGV5/meshes/CW_rf.STL,,CasterWheel-3,cw_wheel_rf,cw_rf,CW_rf_joint,continuous,0,-0.0835,-0.03,0,0,0,CW_brac_rf,1,0,0,,,,,,,,,,,,
CW_mount_rr,0,0.0017831789674009,0,0,0,0,0.0356883693504993,2.08430225591623E-05,4.51326632456734E-21,-6.79452789828874E-21,3.09736689346613E-05,-1.29626656866719E-21,1.05474364348081E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_rr.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_rr.STL,,Caster_Wheel_mount-2,cw_brac_rr,Axis_CW_mount_rr_joint,CW_mount_rr_joint,fixed,0.2313875,0.0489999999999998,0.35,0,0,0,base_link,0,0,0,,,,,,,,,,,,
CW_brac_rr,-2.45495707817955E-07,-0.037775044495956,0.0143305757586212,0,0,0,0.0747206398188077,6.84711765656461E-05,3.66816230848952E-11,6.3657825662941E-12,6.18341101257445E-05,1.41155279221006E-05,8.26659596872356E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_rr.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_rr.STL,,Caster_Wheel_bracket-2,cw_brac_rr,cw_bracket_rr,CW_brac_rr_joint,continuous,0,0,0,0,0,0,CW_mount_rr,0,1,0,,,,,,,,,,,,
CW_rr,5.55111512312578E-17,5.55111512312578E-17,5.55111512312578E-17,0,0,0,0.359205022961183,0.000758344332671333,3.37550549678313E-37,-1.61615581202966E-20,0.000401507997406102,-2.2463716101834E-20,0.000401507997406102,0,0,0,0,0,0,package://AGV5/meshes/CW_rr.STL,1,0.968627450980392,0.843137254901961,1,0,0,0,0,0,0,package://AGV5/meshes/CW_rr.STL,,CasterWheel-2,cw_wheel_rr,cw_rr,CW_rr_joint,continuous,0,-0.0835,0.03,0,0,0,CW_brac_rr,1,0,0,,,,,,,,,,,,
bot_slider_l,3.00331338071169E-05,-0.0200191160179827,-0.00787005521461176,0,0,0,0.114142224900164,0.000170720888025557,1.7611889690302E-10,-1.84223493745308E-10,0.000166924081432132,-3.89844997742799E-05,0.000103620663551183,0,0,0,0,0,0,package://AGV5/meshes/bot_slider_l.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/bot_slider_l.STL,,Scisscors_slider_bot_mount_with_bearing_fixed_end-1,bot_slider_sci_l,slider_l,bot_slider_l_joint,prismatic,-0.23161,0.178,-0.31051,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
sci_l_A,-0.00320762465782468,0.196826158991707,0.344231432576927,0,0,0,0.67470637668214,0.00331980133082934,-2.88816636162645E-09,2.73770869656722E-09,0.00255036599319112,-0.00132711116646036,0.00108606213536762,0,0,0,0,0,0,package://AGV5/meshes/sci_l_A.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/sci_l_A.STL,,Scissors_joint-2,bot_slider_sci_l,bot_sci_slider_l,sci_l_A_joint,continuous,0,0,0,0,0,0,bot_slider_l,1,0,0,,,,,,,,,,,,
sci_bot_l,0,0,0,0,0,0,1.07090296216303,0.000255203590199193,2.85159816962671E-21,-1.27150965089064E-17,0.000855782346172711,-1.97748430428543E-20,0.000855782346172711,0,0,0,0,0,0,package://AGV5/meshes/sci_bot_l.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://AGV5/meshes/sci_bot_l.STL,,Scissors_bolt-1,coord_sci_bolt_l,sci_bolt_l,sci_bot_l_joint,continuous,0,0.19607,0.3429,0,0,0,sci_l_A,1,0,0,,,,,,,,,,,,
sci_l_B,0.00320762465782637,0.000758243892774069,-0.00132857072156361,0,0,0,0.674706376682144,0.00331980133082935,2.88816633410552E-09,2.73770874279488E-09,0.00255036599319328,0.00132711116645918,0.00108606213536547,0,0,0,0,0,0,package://AGV5/meshes/sci_l_B.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/sci_l_B.STL,,Scissors_joint-1,coord_sci_bolt_l,sci_bolt_l,sci_l_B_joint,continuous,0,0,0,0,0,0,sci_bot_l,1,0,0,,,,,,,,,,,,
virtual_base_l,0.231489268899384,-0.122603863443801,-0.358156786244502,0,0,0,7.19116955235277,0.441209434736245,-1.27470215921179E-06,-0.0017054451243839,0.654363133888033,-0.0068490368306114,0.249410032162092,0,0,0,0,0,0,package://AGV5/meshes/virtual_base_l.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/virtual_base_l.STL,,Base-1,bot_fixed_sci_l,bot_sci_fixed_l,virtual_base_l_joint,continuous,0,-0.19607,0.3429,0,0,0,sci_l_B,1,0,0,,,,,,,,,,,,
top_fixed_l_A,2.99157242311665E-08,0.0292682220386327,-9.63513840934738E-09,0,0,0,0.175464674455898,0.000145636754929182,-1.17278497748042E-10,-3.14519748528053E-11,0.000117199630744032,3.32238392493428E-11,0.000198823734012958,0,0,0,0,0,0,package://AGV5/meshes/top_fixed_l_A.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/top_fixed_l_A.STL,,Scissors_top_slide_connector-1,top_fixed_sci_mount_l_A,top_sci_fixed_mount_l_A,top_fixed_l_A_joint,continuous,0,0.39214,0.68581,0,0,0,sci_l_A,1,0,0,,,,,,,,,,,,
top_fixed_l_B,9.63514465435189E-09,0.0292682220386328,2.99157242311665E-08,0,0,0,0.175464674455898,0.000198823734012959,-3.32238563992473E-11,3.14519735895838E-11,0.000117199630744032,-1.17278497795776E-10,0.000145636754929182,0,0,0,0,0,0,package://AGV5/meshes/top_fixed_l_B.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/top_fixed_l_B.STL,,Scissors_top_slide_connector-3,top_fixed_sci_mount_l_B,top_sci_fixed_mount_l_B,top_fixed_l_B_joint,continuous,0,0.07,0,0,0,0,top_fixed_l_A,0,0,-1,,,,,,,,,,,,
TM_base,0.291868121787565,0.0175685442194217,-0.370862486468341,0,0,0,8.41981200967231,0.523004037616243,1.43308185341481E-06,-7.44855697569044E-07,0.791444525751469,3.47328698782028E-07,0.282393332443752,0,0,0,0,0,0,package://AGV5/meshes/TM_base.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/TM_base.STL,,Top_module_base-1,top_fixed_sci_mount_l_C,top_sci_fixed_mount_l_C,TM_base_joint,continuous,0,0.07,0,0,0,0,top_fixed_l_B,0,0,-1,,,,,,,,,,,,
top_slider_l,-2.77555756156289E-17,1.11022302462516E-16,8.32667268468867E-17,0,0,0,0.534640164778728,0.0126331366475046,6.30108967515339E-21,-3.84976619999634E-18,0.0126331366475046,5.31885076395977E-19,4.24137711150283E-05,0,0,0,0,0,0,package://AGV5/meshes/top_slider_l.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://AGV5/meshes/top_slider_l.STL,,Sliding_rod-2,top_slider_l_coord,top_slider_l,top_slider_l_joint,continuous,0,0,-0.577999999999982,0,0,0,TM_base,0,0,1,,,,,,,,,,,,
top_slider_l_B,-9.74220704108575E-15,-0.0333359298509797,-1.82631687550838E-14,0,0,0,0.272837758042886,0.000197252502105011,2.78034321495643E-18,-4.02851062493188E-14,0.000224313595989508,1.01202669543092E-19,0.000136574041354006,0,0,0,0,0,0,package://AGV5/meshes/top_slider_l_B.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/top_slider_l_B.STL,,Scissors_top_slider_bushing_2-1,top_slider_bushing_l,top_slider_l,top_slider_l_B_joint,prismatic,0,0,-0.10781,0,0,0,top_slider_l,0,0,1,0,0,0,0,,,,,,,,
top_slider_l_A,2.99157247030113E-08,-0.0407317779613674,-9.6351394085481E-09,0,0,0,0.175464674455898,0.000145636754929182,-1.1727849771324E-10,-3.14519736405281E-11,0.000117199630744032,3.3223839435118E-11,0.000198823734012958,0,0,0,0,0,0,package://AGV5/meshes/top_slider_l_A.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/top_slider_l_A.STL,,Scissors_top_slide_connector-4,top_slider_sci_mount_l_B,top_sci_slider_mount_l_B,top_slider_l_A_joint,continuous,0,-0.07,0,0,0,0,top_slider_l_B,0,0,-1,,,,,,,,,,,,
virtual_sci_l_1,0.00320762465783173,-0.195309671206187,0.341574291134003,0,0,0,0.674706376682144,0.00331980133082935,2.88816633412254E-09,2.7377087427978E-09,0.00255036599319328,0.00132711116645918,0.00108606213536547,0,0,0,0,0,0,package://AGV5/meshes/virtual_sci_l_1.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/virtual_sci_l_1.STL,,Scissors_joint-1,top_slider_sci_mount_l_A,top_sci_slider_mount_l_A,virtual_sci_l_1_joint,continuous,0,-0.0700000000000002,0,0,0,0,top_slider_l_A,1,0,0,,,,,,,,,,,,
top_slider_r,0,0,5.55111512312578E-17,0,0,0,0.534640164778729,0.0126331366475046,-4.34262928418594E-22,1.30300498501999E-17,0.0126331366475046,4.77828739196637E-18,4.24137711150283E-05,0,0,0,0,0,0,package://AGV5/meshes/top_slider_r.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://AGV5/meshes/top_slider_r.STL,,Sliding_rod-1,top_slider_r_coord,top_slider_r,top_slider_r_joint,continuous,0.463,0,-0.52799999999998,0,0,0,TM_base,0,0,1,,,,,,,,,,,,
